Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Puerto Rico,US,2021-03-06 04:30:38,18.2208,-66.5901,101066,2056,91833.0,7177.0,72.0,3164.548638661061,407038.0,,2.0343142105159004,630.0,PRI,12745.053220502654,,,
Rhode Island,US,2021-03-06 04:30:38,41.6809,-71.5118,128121,2541,,125580.0,44.0,12094.177527773818,3087981.0,,1.9832814292738896,84000044.0,USA,291494.6840595416,,,
South Carolina,US,2021-03-06 04:30:38,33.8569,-80.945,523258,8699,230793.0,283766.0,45.0,10162.887276317932,5126807.0,,1.6624686101311397,84000045.0,USA,99574.51511192892,,,
South Dakota,US,2021-03-06 04:30:38,44.2998,-99.4388,113229,1896,109237.0,2096.0,46.0,12799.168945322435,698456.0,,1.6744826855310917,84000046.0,USA,78952.00297515768,,,
Tennessee,US,2021-03-06 04:30:38,35.7478,-86.6923,780894,11534,755474.0,13886.0,47.0,11434.677165935442,6856581.0,,1.4770250507751372,84000047.0,USA,100401.322326829,,,
Texas,US,2021-03-06 04:30:38,31.0545,-97.5635,2688975,45047,2470308.0,173620.0,48.0,9273.644763544176,19820052.0,,1.675248003421378,84000048.0,USA,68354.71562322938,,,
Utah,US,2021-03-06 04:30:38,40.15,-111.8624,373868,1970,357312.0,13441.0,49.0,11625.479809779168,2895082.0,,0.5245393176427661,84000049.0,USA,90303.1792681002,,,
Vermont,US,2021-03-06 04:30:38,44.0459,-72.7107,15819,207,13145.0,2467.0,50.0,2535.1408438289773,1107296.0,,1.3085530058790062,84000050.0,USA,177454.4102540269,,,
Virgin Islands,US,2021-03-06 04:30:38,18.3358,-64.8963,2714,25,2559.0,130.0,78.0,2530.111496438826,48881.0,,0.9211495946941785,850.0,VIR,45569.04202558079,,,
Virginia,US,2021-03-06 04:30:38,37.7693,-78.17,583060,9428,,573632.0,51.0,6830.984735667508,5996828.0,,1.6169862449833636,84000051.0,USA,70257.3329167213,,,
Washington,US,2021-03-06 04:30:38,47.4009,-121.4905,343868,5041,,338827.0,53.0,4515.729899290772,5344402.0,,1.4659694999243895,84000053.0,USA,70183.54689947712,,,
West Virginia,US,2021-03-06 04:30:38,38.4912,-80.9545,132964,2318,124502.0,6144.0,54.0,7419.257460465018,2218488.0,,1.7433290213892485,84000054.0,USA,123789.39897229412,,,
Wisconsin,US,2021-03-06 04:30:38,44.2685,-89.6165,620663,7094,552311.0,61258.0,55.0,10659.854624371868,7037081.0,,1.1429713064899951,84000055.0,USA,120861.49881647436,,,
